Id,Name,Clan,Sect,Strength,Blood,Backgrounds,Merits,Text,Age,Disciplines,Artist
137,Edward Kassel,Ventrue,Sabbat,3,7,"Resources 2, Herd 1",Retribution,Vampires without Dominate have -2 Strength while in combat with Edward.,Ancilla,"Dominate, Presence, Fortitude",
138,Markos Ślusarska,Ventrue,Sabbat,4,6,status 1,"bishop, Retribution, Rush",Limited: Markos can spend 1 blood to prevent up to 2 damage caused to a vampire you control that loses a combat. ,Ancilla,"Dominate, Fortitude, Auspex",
139,Alexia Laskarea,Ventrue,Sabbat,4,9,"Resources 1, Herd 3, Status 1",Luminar,Limited: Alexia can spend 1 blood to prevent all but 1 damage done to her when loses a combat. ,Elder,"Dominate, Auspex, Fortitude, Celerity",Testing Artist
140,Viliamu Tuigamala,Ventrue,Sabbat,5,9,"Herd 1, Resources 1, Status 1",Retribution,"Limited: After an opponent successfully attacks your domain, Viliamu can spend 1 blood to make the attacking vampire receive 3 damage. If this damage sends the attacking vampire to torpor, you gain 1 victory point. ",Elder,"Dominate, Auspex, Fortitude, Presence",
141,Veikko Määttä,Ventrue,Sabbat,2,2,Resources 1,,"Limited: After Veikko hunts successfully, she can burn 1 blood to make the opponent discard two cards and draw back to hansdize afterwards. ",Fledgeling,Dominate,
142,Vinzenz Henzler,Ventrue,Sabbat,2,2,Contacts 1,Retribution,"While 2 or more of your opponents Vampires are not at full blood, Petros has +1 Strength. ",Fledgeling,Fortitude,
143,Eleanor Brant,Ventrue,Sabbat,2,5,Herd 1,"Retribution, Templar",Limited: Eleanor gains +2 Strength after a vampire you control receives damage in combat until the end of the round. ,Neonate,"Dominate, Auspex",Testing Artist
144,Petros Yared,Ventrue,Sabbat,3,4,Herd 2,"Wrath, Retribution",Petros has +1 additional Strength if an opponent successfully attacked your domain this round. ,Neonate,"Dominate, Fortitude",
145,Fergus Dunsirn,Giovanni,Independent,2,2,,Rush,"While Fergus has a Dominate Power attached to him, he has +1 Strength.",Fledgeling,Potence,
146,Manuela Pisanob,Giovanni,Independent,2,2,"Rituals 1, Retainers 1",,"While you have 3 or more rituals in play, Manuela has +1 Strength. ",Fledgeling,Necromancy,
147,Don Carlo Putanesca,Giovanni,Independent,3,3,Contacts 2,"Rush, Vicious, Abactor","Limited: After Don Carlo wins a combat with a Vampire, he can cause one damage to a Victim in a Domain. If this damage kills that victim, he unlocks.",Neonate,"Potence, Dominate",
148,Itala Rosselini,Giovanni,Independent,3,4,"Resources 1, Contacts 1",Blackmail,"Limited: After Itala Blackmails a vampire, she can spend 1 blood to make your opponent lose 1 influence. ",Neonate,"Necromancy, Dominate",
149,David Milliner,Giovanni,Independent,2,5,"Resources 3, Retainers 3,  Contacts 2 ",Vicious,"Limited: After an opponent successfully attacks your domain, David can spend 1 blood to make that opponent lose 1 influence. ",Ancilla,"Necromancy, Dominate, Potence",
150,Guiseppe Giovanni,Giovanni,Independent,3,7,"Resources 1, Rituals 2","Vicious, Abactor","Limited: After Giuseppe successfully hunts, Giuseppe can spend 1 blood to unlock. ",Ancilla,"Necromancy, Dominate, Potence",
151,Giada Giovanni,Giovanni,Independent,4,9,"Rituals 2, Retainers 3","Rush, Bloodthirsty","Limited: After Giada sends an opposing vampire to torpor, she can spend 3 blood and discard a zombie or wraith retainer attached to her to destroy that vampire. ",Elder,"Necromancy, Dominate, Potence, Fortitude",
152,Rafael Giovanni,Giovanni,Independent,3,9,"Rituals 3, Retainers 3, Resources 2",,"Limited: Rafael can lock to move a zombie or wraith retainer from your discard pile to your hand, discard to handsize afterwards.",Elder,"Necromancy, Dominate, Potence, Auspex",
153,Mona Bazzi,Follower of Set,Independent,2,2,Herd 1,Alluring,Mona Has +1 Strength when fighting a Vampire with Temptation. ,Fledgeling,Serpentis,Testing artist at it again
154,Reed Boulos,Follower of Set,Independent,1,3,Retainers 1,Rebel,"Limited: When a Victim in your Domain is killed, Reed can spend 1 blood to unlock.",Fledgeling,Presence,
155,Katariina Jokela,Follower of Set,Independent,3,4,Resources 1,"Alluring, Devious",Katarina has +1 Strength if you played a Scheme this turn.,Neonate,"Serpentis, Presence",
156,Esko Savolainen,Follower of Set,Independent,3,4,"Rituals 2, Resources 1",,"While Jiang has a Serpentis power attached to them, they have +1 Strength.",Neonate,"Serpentis, Obfuscate",
157,Billy Moreno,Follower of Set,Independent,4,7,Contacts 3,Alluring,"While your opponent controls 2 or more Vampires with Temptation, Billy has Exploit",Ancilla,"Serpentis, Presence, Obfuscate",
158,Lippa,Follower of Set,Independent,3,8,Herd 2,"Alluring, Abactor",Limited: Lippa can spend 1 blood to get +1 Strength for each Victim in your domain (up to 3). ,Ancilla,"Serpentis, Presence, Obfuscate",
159,Joel Turner,Follower of Set,Independent,3,9,"Status 1, Retainers 3","Alluring, Vicious, territorial","While your opponent controls a Vampire with Zero strength, Joel has Rush and Bloodthirsty. ",Elder,"Serpentis, Presence, Obfuscate, Dominate",
160,Odion Samaha,Follower of Set,Independent,3,9,"Rituals 3, Herd 2, Resources 2",Alluring,"Limited: After Odion successfully hunts a Victim in your opponents Domain, he can burn 2 blood do Steal that Victim to your Domain.",Elder,"Serpentis, Presence, Obfuscate, Thaumaturgy",
